,Station,Previous Station Code,Up/Down Line,Day of Week,Hour,Minute,Number of Transfer,GetIn_cnt,GetOut_cnt,PrevCongestion0,PrevCongestion1,PrevCongestion2,PrevCongestion3,PrevCongestion4,PrevCongestion5,PrevCongestion6,PrevCongestion7,PrevCongestion8,PrevCongestion9,sin_time,cos_time,sin_minute,cos_minute,Route Code_0.0,Route Code_1.0,Route Code_2.0,Route Code_3.0,Route Code_4.0,Route Code_5.0,Fast Transfer0,Fast Transfer1,Fast Transfer2,Fast Transfer3,Fast Transfer4,Fast Transfer5,Fast Transfer6,Fast Transfer7,Fast Transfer8,Fast Transfer9,Fast Get Off0,Fast Get Off1,Fast Get Off2,Fast Get Off3,Fast Get Off4,Fast Get Off5,Fast Get Off6,Fast Get Off7,Fast Get Off8,Fast Get Off9
4110,206,206,0,4,9,20,1.0,190.8702608853896,145.75155199151075,47.66666666666666,57.333333333333336,69.33333333333333,77.66666666666667,66.0,64.66666666666667,64.66666666666667,43.333333333333336,47.333333333333336,45.333333333333336,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
13538,221,221,1,4,9,10,0.0,99.83981935448342,440.2948881355542,47.2,55.0,62.6,69.0,76.0,69.6,73.8,55.6,42.8,36.0,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13126,220,220,1,1,9,50,1.0,152.29983071728412,570.6219169771351,49.2,59.4,64.4,67.6,65.4,74.8,68.6,63.4,44.2,35.8,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8832,213,213,1,3,7,0,0.0,1070.1749926791106,245.15816486108568,12.2,16.2,19.2,15.2,13.2,16.2,10.2,14.4,14.2,11.0,0.9659258262890684,-0.2588190451025206,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15657,224,224,0,4,10,40,0.0,424.6112545270282,1241.368334649969,51.833333333333336,54.833333333333336,73.66666666666667,85.5,94.5,75.66666666666667,77.5,70.66666666666667,64.66666666666667,58.833333333333336,0.4999999999999999,-0.8660254037844387,-0.8660254037844384,-0.5000000000000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11943,218,218,1,2,6,10,1.0,122.39297504279284,195.0053035318665,13.0,14.0,17.0,17.0,18.0,21.0,19.0,15.0,14.0,12.0,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1595,203,203,1,0,8,50,1.0,145.433203023738,2249.787959119148,55.0,50.6,47.0,42.6,38.2,38.2,37.2,44.4,42.6,31.0,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
7886,211,211,0,0,8,10,1.0,524.0058241790703,4381.678237412083,77.75,83.75,93.0,92.75,87.0,100.25,108.25,99.25,92.0,105.25,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
5466,208,208,1,1,9,0,3.0,183.990875827481,118.4649815900217,55.0,58.0,53.0,50.0,49.0,41.0,42.0,49.0,50.0,44.0,0.7071067811865476,-0.7071067811865475,0.0,1.0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
9246,213,213,0,2,6,30,0.0,408.4651532646924,222.574920888603,18.5,19.5,16.25,19.5,18.5,20.5,16.25,17.5,21.5,27.75,1.0,6.123233995736766e-17,5.66553889764798e-16,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
